Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C4, C5, C6, C7, C8, C9",0402,10,100pF,
C15,0402,1,10 uF,
C16,0402,1,1uF,
C17,0402,1,0.1 uF,
C18,0402,1,0.1nF,
D1,D_MicroMELF,1,D_Schottky,
D2,TVS DIOM5226X230N,1,TVS SMAJ3.3A-TP,
D3,0603,1,LED,
FB1,Bead0603 BEADC1608X100N,1,Bead MG1608-152Y,
IC1,Antennuator-HMC1119-QFN50P400X400X95-25N-D,1,HMC1119LP4METR,
J1,SW_DIP_SPSTx07_Slide_6.7x19.34mm_W7.62mm_P2.54mm_LowProfile,1,Conn_02x07_Counter_Clockwise,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
J5,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
Q1,SOT-23,1,Q_PMOS_GSD,
"R1, R19",0402,2,0,
"R10, R2, R21, R22, R3, R4, R5, R6, R7, R8, R9",0402,11,100k,
"R11, R12, R13, R14, R15, R16, R17, R18",0402,8,1k,
"R20, R23",0402,2,10 kohm,
"SMA1, SMA2",SMA_KHD_Back,2,~,
outline1,Outline_3x2_cavity_1.5mm,1,~,
