Designator,Mid X,Mid Y,Rotation,Layer
C1,166.153,-99.673201,180.0,top
C10,151.763,-98.563201,180.0,top
C11,149.212999,-98.553201,180.0,top
C12,146.672999,-98.573201,180.0,top
C15,144.24,-101.53,180.0,top
C16,140.87,-103.42,0.0,top
C17,149.45,-104.58,0.0,top
C18,149.46,-105.69,0.0,top
C4,149.923,-109.0732,180.0,top
C5,162.163,-98.6132,180.0,top
C6,159.632999,-98.573201,180.0,top
C7,159.402599,-109.049601,0.0,top
C8,156.842999,-98.533201,180.0,top
C9,154.293,-98.593201,180.0,top
D1,140.42,-100.19,180.0,top
D2,143.8554,-98.1502,90.0,top
D3,139.88,-102.03,180.0,top
FB1,144.01,-103.16,0.0,top
IC1,154.7506,-108.326001,0.0,top
J1,154.72,-93.18,270.0,bottom
J2,140.4,-93.135,180.0,bottom
J5,169.115,-94.495,270.0,bottom
Q1,140.5,-97.317501,270.0,top
R1,168.492999,-99.1032,90.0,top
R10,146.674599,-99.606,0.0,top
R11,147.182999,-92.023201,270.0,top
R12,149.719669,-92.023201,270.0,top
R13,152.256335,-92.023201,270.0,top
R14,154.793001,-92.023201,270.0,top
R15,157.329668,-92.023201,270.0,top
R16,159.866333,-92.023201,270.0,top
R17,162.402999,-92.023201,270.0,top
R18,163.68,-93.79,180.0,top
R19,170.33,-99.073201,90.0,top
R2,162.164599,-99.646001,0.0,top
R20,137.74,-99.33,0.0,top
R21,150.333001,-107.553201,0.0,top
R22,159.542999,-106.993201,180.0,top
R23,137.21,-102.05,0.0,top
R3,159.634599,-99.606001,0.0,top
R4,159.532999,-105.673201,180.0,top
R5,156.8446,-99.566001,0.0,top
R6,154.294599,-99.626001,0.0,top
R7,159.553001,-104.543201,180.0,top
R8,151.764599,-99.591,0.0,top
R9,149.2146,-99.586,0.0,top
SMA1,143.9984,-109.049601,270.0,bottom
SMA2,165.710799,-109.049601,270.0,bottom
outline1,84.57306,-125.195121,0.0,top
