Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C17, C18, C20, C23, C4",0603,6,1uf,
"C16, C3",0603,2,0.1uf,
C19,0603,1,4.7uf,
"C21, C24",0603,2,1n,
C22,0603,1,1.2n,
C25,0603,1,7.15n,
"C26, C9",0603,2,4.7u,
C5,0603,1,0.1nF,
IC1,DC_SOT95P280X145-5N,1,MIC7300,
IC2,OPA134_SOIC127P600X175-8N,1,OPA134UA,
IC3,OPA2134_SOIC127P600X175-8N,1,OPA2134UA_2K5,
"J1, J2",SMA_KHD_Back,2,Conn_01x02_Pin,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
"J4, J5",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
"R15, R16",0603,2,33k,
R3,0603,1,1k,
R4,0603,1,300k,
R5,0603,1,12k,
R6,0603,1,17.4k,
R7,0603,1,4.75k,
R8,0603,1,7.5k,
RV2,Potentiometer_Bourns_3296W_Vertical,1,R_Potentiometer,
outline1,Outline_3x2_cavity_20231207,1,~,
