Designator,Mid X,Mid Y,Rotation,Layer
C10,138.303,-60.706,180.0,top
C16,153.7208,-61.5188,180.0,top
C17,150.2156,-61.2902,90.0,top
C18,153.7208,-63.0936,180.0,top
C19,162.42,-60.2996,0.0,top
C20,139.9032,-63.9318,0.0,top
C21,147.1044,-75.806,270.0,top
C22,146.2278,-70.7644,0.0,top
C23,157.366,-70.612,0.0,top
C24,154.7368,-77.0636,270.0,top
C25,151.5618,-67.2846,180.0,top
C26,157.3784,-72.644,0.0,top
C3,162.415,-61.9202,0.0,top
C4,158.5468,-67.7926,0.0,top
C5,162.415,-63.4696,0.0,top
C9,142.748,-68.58,90.0,top
IC1,158.1658,-61.976,0.0,top
IC2,145.415,-62.9158,0.0,top
IC3,151.8796,-72.644,0.0,top
J1,137.2516,-71.003,0.0,bottom
J2,164.6328,-71.003,0.0,bottom
J3,158.5014,-58.2506,180.0,bottom
J4,143.7132,-77.6936,180.0,bottom
J5,158.242,-77.6936,180.0,bottom
R15,158.5468,-64.7192,0.0,top
R16,158.5476,-66.2534,180.0,top
R3,139.9286,-62.3062,180.0,top
R4,139.9286,-65.5828,180.0,top
R5,150.2156,-64.4144,270.0,top
R6,146.2794,-73.279,0.0,top
R7,148.5138,-68.9102,0.0,top
R8,151.5872,-68.8848,0.0,top
RV2,144.897,-58.3184,180.0,bottom
outline1,92.112414,-68.368333,0.0,top
