Designator,Mid X,Mid Y,Rotation,Layer
C1,152.824,-105.41,0.0,top
C2,157.607,-106.172,90.0,top
C3,159.131,-100.965,270.0,top
C4,157.607,-100.965,270.0,top
C5,169.38,-105.41,180.0,top
C6,166.8018,-106.172,90.0,top
C7,165.862,-98.425,0.0,top
C8,165.862,-99.949,0.0,top
C9,165.862,-101.6,0.0,top
IC1,161.29,-105.41,0.0,top
J1,160.167,-94.107,0.0,bottom
L1,155.491,-104.6226,270.0,top
L2,165.1,-104.648,270.0,top
R1,156.083,-100.965,270.0,top
SMA1,147.5486,-105.41,180.0,bottom
SMA2,174.7774,-105.3846,180.0,bottom
outline1,220.30757,-102.531334,180.0,bottom
