Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C5, C7",0402,5,10uF,
"C10, C11, C12, C13, C23, C3, C6, C9",0402,8,1uF,
"C14, C16, C20, C21, C22, C24, C8",0402,7,0.1uF,
"C15, C19",0402,2,0.01uF,
C17,0402,1,0.1 uF,
C18,0402,1,10 uF,
C20_LF1,0402,1,2.2nF,
C21_LF1,0402,1,C_Small,
C22_LF1,0402,1,470nF,
C23_LF1,0402,1,330 pF,
C25,0402,1,0.1nF,
D1,0603,1,LED,
D2,TVS DIOM5226X230N,1,TVS SMAJ3.3A-TP,
D3,D_MicroMELF,1,D_Schottky,
FB1,Bead0603 BEADC1608X100N,1,Bead MG1608-152Y,
"J1, J6, J7, J8, J9",SMA_KHD_Back,5,Conn_Coaxial,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J4,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J5,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,
"L1, L2",0603,2,18nH,
Q1,SOT-23,1,Q_PMOS_GSD,
"R1, R2, R3, R7",0402,4,50,
"R10, R11",0402,2,51,
R12,0402,1,10 kohm,
R4,0402,1,100k,
R5,0402,1,330,
R5_LF1,0402,1,22,
"R6, R8, R9",0402,3,12K,
R6_LF1,0402,1,0,
R7_LF1,0402,1,15,
U1,LMX2594-QFN41N,1,~,
outline1,Outline_3x2_cavity_1.5mm,1,~,
