Designator,Mid X,Mid Y,Rotation,Layer
C1,148.63,-71.73,90.0,top
C10,142.34,-76.34,180.0,top
C11,147.62,-71.72,90.0,top
C12,153.99,-76.16,0.0,top
C13,146.9898,-81.9912,90.0,top
C14,158.496,-75.774,180.0,top
C15,157.61,-79.05,90.0,top
C16,158.496,-81.454,180.0,top
C17,137.18,-76.92,135.0,top
C18,132.08,-76.962,90.0,top
C19,149.98,-85.74,180.0,top
C2,153.16,-73.33,0.0,top
C20,142.38,-78.82,0.0,top
C20_LF1,149.62,-71.73,270.0,top
C21,142.41,-77.62,180.0,top
C22,151.99,-84.83,135.0,top
C22_LF1,144.32,-81.66,0.0,top
C23,133.67,-74.88,270.0,top
C23_LF1,142.42,-82.75,0.0,top
C24,147.12,-84.8,45.0,top
C25,138.28,-75.91,135.0,top
C3,142.39,-79.8,180.0,top
C4,142.34,-75.21,180.0,top
C5,150.62,-71.75,90.0,top
C6,146.64,-71.38,90.0,top
C7,153.98,-74.84,0.0,top
C8,152.8318,-81.4324,315.0,top
C9,142.38,-80.78,180.0,top
D1,151.65,-72.48,0.0,bottom
D2,131.572,-73.152,90.0,top
D3,137.668,-66.04,0.0,top
FB1,135.72,-75.07,0.0,top
J1,163.795471,-73.122426,315.0,bottom
J2,136.37,-72.175,180.0,bottom
J3,143.769,-71.628,270.0,bottom
J4,156.455,-66.525,90.0,bottom
J5,143.805,-66.565,0.0,bottom
J6,163.796245,-84.07,225.0,bottom
J7,155.735471,-88.542426,315.0,bottom
J8,143.3,-88.576245,315.0,bottom
J9,134.5,-82.526245,315.0,bottom
L1,159.67,-78.6,180.0,top
L2,149.51,-87.76,90.0,top
Q1,137.668,-69.166499,90.0,top
R1,155.86,-77.09,118.0,top
R10,140.12,-79.32,90.0,top
R11,140.6,-76.38,90.0,top
R12,139.954,-65.786,270.0,top
R2,155.86,-80.13,242.0,top
R3,150.6,-84.14,45.0,top
R4,142.339999,-73.99,0.0,top
R5,147.99,-71.38,180.0,bottom
R5_LF1,144.79,-83.17,90.0,top
R6,147.16,-66.72,135.0,top
R6_LF1,145.82,-81.93,90.0,top
R7,148.51,-84.11,135.0,top
R7_LF1,142.39,-81.76,180.0,top
R8,147.3,-68.32,180.0,top
R9,142.03,-69.6,180.0,top
U1,148.0368,-77.1144,0.0,top
outline1,79.556252,-103.871921,0.0,top
