Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C5, C7",0402,5,10uF,
"C10, C11, C12, C13, C23, C3, C6, C9",0402,8,1uF,
"C14, C16, C17, C20, C21, C22, C24, C8",0402,8,0.1uF,
"C15, C19",0402,2,0.01uF,
C20_LF1,0402,1,2.2nF,
C21_LF1,0402,1,Open,
C22_LF1,0402,1,470nF,
C23_LF1,0402,1,330pF,
C25,0402,1,0.1nF,
D1,0603,1,LED,
J1,PinHeader_2x02_P2.54mm_Vertical,1,Conn_01x04_Pin,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J4,PinHeader_2x03_P2.54mm_Vertical,1,Conn_01x06_Pin,
"L1, L2",0603,2,18nH,
"R1, R2, R3, R7",0402,4,50,
"R10, R11",0402,2,51,
"R12, R6, R8",0402,3,12K,
R4,0402,1,100k,
R5,0402,1,330,
R5_LF1,0402,1,22,
R6_LF1,0402,1,0,
R7_LF1,0402,1,15,
"SMA1, SMA2, SMA3, SMA4, SMA5",SMA_KHD_Back,5,~,
U1,LMX2594-QFN41N,1,~,
outline1,Outline_3x2_cavity_1.5mm,1,~,
