Designator,Mid X,Mid Y,Rotation,Layer
C1,148.63,-71.73,90.0,top
C10,142.34,-76.34,180.0,top
C11,147.62,-71.72,90.0,top
C12,153.99,-76.16,0.0,top
C13,146.9898,-81.9912,90.0,top
C14,158.496,-75.774,180.0,top
C15,157.61,-79.05,90.0,top
C16,158.496,-81.454,180.0,top
C17,138.66,-70.25,270.0,top
C19,149.98,-85.74,180.0,top
C2,153.16,-73.33,0.0,top
C20,142.38,-78.82,0.0,top
C20_LF1,149.62,-71.73,270.0,top
C21,142.41,-77.62,180.0,top
C22,151.99,-84.83,135.0,top
C22_LF1,144.32,-81.66,0.0,top
C23,139.69,-70.25,270.0,top
C23_LF1,142.42,-82.75,0.0,top
C24,147.12,-84.8,45.0,top
C25,137.63,-70.26,270.0,top
C3,142.39,-79.8,180.0,top
C4,142.34,-75.21,180.0,top
C5,150.62,-71.75,90.0,top
C6,146.64,-71.38,90.0,top
C7,153.98,-74.84,0.0,top
C8,152.8318,-81.4324,315.0,top
C9,142.38,-80.78,180.0,top
D1,151.65,-72.48,0.0,bottom
J1,143.759,-66.553,0.0,bottom
J2,136.37,-72.175,180.0,bottom
J3,143.769,-71.628,270.0,bottom
J4,156.48,-66.495,90.0,bottom
L1,159.67,-78.6,180.0,top
L2,149.51,-87.76,90.0,top
R1,155.86,-77.09,118.0,top
R10,140.12,-79.32,90.0,top
R11,140.6,-76.38,90.0,top
R12,140.72,-68.08,270.0,top
R2,155.86,-80.13,242.0,top
R3,150.6,-84.14,45.0,top
R4,142.339999,-73.99,0.0,top
R5,147.99,-71.38,180.0,bottom
R5_LF1,144.79,-83.17,90.0,top
R6,147.09,-67.28,0.0,top
R6_LF1,145.82,-81.93,90.0,top
R7,148.51,-84.11,135.0,top
R7_LF1,142.39,-81.76,180.0,top
R8,147.1,-68.36,0.0,top
SMA1,163.8,-73.136445,315.0,bottom
SMA2,163.8,-84.096245,315.0,bottom
SMA3,134.525471,-82.562426,315.0,bottom
SMA4,155.75,-88.56,315.0,bottom
SMA5,143.320001,-88.56,315.0,bottom
U1,148.0368,-77.1144,0.0,top
outline1,79.528542,-103.941921,0.0,top
