Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C16, C17, C2, C3, C4, C5, C6, C7, C8, C9",0603,12,0.1uF,
"C11, C12, C13, C14, C15, C18",0603,6,4.7uF,
"IC1, IC2, IC3, IC4, IC5, IC6",DC_LM317_SOT230P700X180-4N,6,DC_LM317DCYR,
"J1, J12, J13, J14",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02_Pin,
"J10, J11, J15, J2, J3, J4, J5, J6, J7, J8",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,10,Conn_01x02_Pin,
J9,DC_Socket_48402211,1,DC_Socket_4840.2211,
"R1, R10, R4, R6, R8, R9",0603,6,1k,
"R11, R3",0603,2,5.6k,
R12,0603,1,3.9k,
"R17, R2, R20, R5",0603,4,3.3k,
R7,0603,1,7k,
"VR1, VR2",Resistor_3296W-1,2,Resistor_3296W-1-104LF,
outline1,Outline_9x4_cavity_20230711,1,~,
