Designator,Mid X,Mid Y,Rotation,Layer
C1,161.29,-59.944,0.0,top
C10,124.079,-83.7438,180.0,top
C11,124.079,-82.1736,180.0,top
C12,136.398,-54.102,0.0,top
C13,169.926,-54.0512,0.0,top
C14,186.7276,-76.302,270.0,top
C15,157.226,-80.4418,180.0,top
C16,112.1918,-71.8566,270.0,top
C17,97.536,-77.2414,180.0,top
C18,97.5614,-75.7682,180.0,top
C2,180.8348,-68.122801,270.0,top
C3,165.608,-74.4088,180.0,top
C4,128.1684,-59.8932,0.0,top
C5,132.588,-75.184,180.0,top
C6,136.398,-52.4556,0.0,top
C7,169.926,-52.451,0.0,top
C8,188.3278,-76.302,270.0,top
C9,157.226,-82.042,180.0,top
IC1,163.5252,-55.3588,0.0,top
IC2,185.42,-70.206,270.0,top
IC3,163.576,-78.994,180.0,top
IC4,129.921,-55.3588,0.0,top
IC5,130.4798,-79.756,180.0,top
IC6,104.5972,-74.6252,180.0,top
J1,114.8588,-47.2948,180.0,top
J10,100.965,-83.1088,180.0,top
J11,128.016,-89.9414,180.0,top
J12,122.6062,-47.351,180.0,top
J13,118.7958,-47.3506,180.0,top
J14,126.4158,-47.3506,180.0,top
J15,146.6396,-53.3062,180.0,top
J2,171.1706,-45.9486,180.0,top
J3,197.5104,-75.3872,180.0,top
J4,159.746,-45.737,180.0,top
J5,160.8328,-88.4174,180.0,top
J6,197.8968,-64.3298,180.0,top
J7,137.8512,-45.9486,180.0,top
J8,170.922,-88.409,180.0,top
J9,99.949,-53.5178,270.0,top
R1,158.115,-53.9496,90.0,top
R10,135.6614,-81.0006,270.0,top
R11,122.936,-50.7746,270.0,top
R12,124.5616,-50.7746,270.0,top
R17,189.178199,-64.0588,270.0,top
R2,118.9228,-51.6128,0.0,top
R20,169.7232,-82.7522,180.0,top
R3,117.1448,-49.9872,0.0,top
R4,186.829199,-64.7958,0.0,top
R5,157.378,-51.6006,0.0,top
R6,168.9862,-80.4032,270.0,top
R7,121.3358,-50.7746,270.0,top
R8,124.6124,-53.8734,90.0,top
R9,110.0328,-75.8952,270.0,top
VR1,137.4648,-87.5538,90.0,top
VR2,111.6076,-82.55,90.0,top
outline1,147.662284,-64.357013,0.0,top
