Designator,Mid X,Mid Y,Rotation,Layer
C1,127.2725,-73.6,0.0,top
C10,127.285,-81.54,0.0,top
C11,121.245,-80.65,90.0,top
C12,122.795,-80.66,90.0,top
C13,121.395,-65.94,90.0,top
C14,122.935,-65.93,90.0,top
C15,127.365,-65.29,0.0,top
C16,127.355,-66.82,0.0,top
C17,121.445,-116.427,90.0,top
C18,121.412,-109.696,90.0,top
C19,121.666,-123.92,90.0,top
C2,127.2725,-72.06,0.0,top
C20,127.635,-123.285,0.0,top
C21,123.063,-116.427,90.0,top
C22,122.936,-109.696,90.0,top
C23,123.19,-123.92,90.0,top
C24,127.381,-117.316,0.0,top
C25,127.635,-124.809,0.0,top
C26,128.524,-133.191,0.0,top
C27,121.693,-132.302,90.0,top
C28,127.381,-109.061,0.0,top
C29,127.381,-110.585,0.0,top
C3,121.4525,-72.78,90.0,top
C30,127.381,-115.792,0.0,top
C31,120.142,-132.302,90.0,top
C32,128.524,-131.667,0.0,top
C4,122.9825,-72.77,90.0,top
C5,128.485,-87.82,0.0,top
C6,128.485,-89.38,0.0,top
C7,120.235,-88.5,90.0,top
C8,121.77,-88.49,90.0,top
C9,127.285,-80.02,0.0,top
J1,113.406,-110.363,90.0,top
J10,113.32,-60.77,90.0,top
J11,113.35,-101.89,90.0,top
J12,112.517,-133.096,90.0,top
J13,113.279,-117.221,90.0,top
J2,113.279,-124.714,90.0,top
J3,113.5875,-73.58,90.0,top
J4,113.62,-89.2,90.0,top
J5,113.61,-81.48,90.0,top
J6,113.63,-66.77,90.0,top
J7,113.38,-54.8,90.0,top
J8,111.665,-139.7,90.0,top
J9,113.23,-96.79,90.0,top
TP1,132.72,-56.48,0.0,top
TP2,117.24,-48.12,0.0,top
TP3,101.219,-143.891,0.0,top
U1,124.812,-73.725,0.0,top
U2,124.805,-88.37,180.0,top
U3,124.605,-81.54,0.0,top
U4,124.705,-66.82,0.0,top
U5,124.939,-117.356,0.0,top
U6,124.769099,-132.214,180.0,top
U7,124.714,-110.585,0.0,top
U8,124.968,-124.809,0.0,top
