Designator,Mid X,Mid Y,Rotation,Layer
C1,127.4725,-73.6,0.0,top
C10,127.485,-81.54,0.0,top
C11,121.245,-80.65,90.0,top
C12,122.795,-80.66,90.0,top
C13,121.412,-65.659,90.0,top
C14,122.952,-65.649,90.0,top
C15,127.565,-65.278,0.0,top
C16,127.555,-66.82,0.0,top
C17,121.445,-112.427,90.0,top
C18,121.412,-105.696,90.0,top
C19,121.666,-119.92,90.0,top
C2,127.4725,-72.06,0.0,top
C20,127.835,-119.285,0.0,top
C21,123.063,-112.427,90.0,top
C22,122.936,-105.696,90.0,top
C23,123.19,-119.92,90.0,top
C24,127.581,-113.316,0.0,top
C25,127.835,-120.809,0.0,top
C26,127.381,-129.35,0.0,top
C27,120.113901,-128.549,90.0,top
C28,127.581,-105.061,0.0,top
C29,127.581,-106.585,0.0,top
C3,121.4525,-72.78,90.0,top
C30,127.581,-111.792,0.0,top
C31,118.562901,-128.549,90.0,top
C32,127.508,-127.826,0.0,top
C4,122.9825,-72.77,90.0,top
C5,127.454,-88.483,0.0,top
C6,127.454,-90.043,0.0,top
C7,119.004,-89.163,90.0,top
C8,120.539,-89.153,90.0,top
C9,127.485,-80.02,0.0,top
J1,113.406,-106.363,90.0,top
J12,112.898,-129.286,90.0,top
J13,113.279,-113.221,90.0,top
J2,113.411,-120.714,90.0,top
J3,113.5875,-73.58,90.0,top
J4,113.63,-89.916,90.0,top
J5,113.61,-81.48,90.0,top
J6,113.665,-66.421,90.0,top
J7,113.041,-59.252,90.0,top
J8,114.935,-134.747,90.0,top
J9,113.172,-98.030461,90.0,top
TP3,119.5324,-93.6752,90.0,top
U1,124.812,-73.725,0.0,top
U2,123.574,-89.033,180.0,top
U3,124.46,-81.54,0.0,top
U4,124.705,-66.82,0.0,top
U5,124.939,-113.356,0.0,top
U6,123.19,-128.461,180.0,top
U7,124.714,-106.585,0.0,top
U8,124.968,-120.809,0.0,top
