Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C17, C29, C30, C35, C36, C4, C44, C45, C50, C51, C59, C60, C65",0603,16,1u,
"C12, C15, C31, C33, C46, C48, C61, C63",0603,8,100p,
"C13, C32, C47, C62",0603,4,120p,
"C14, C2, C25, C37, C40, C52, C55, C6",0603,8,22 uF,
"C16, C34, C49, C64",0603,4,750p,
"C18, C20, C22, C24",0603,4,1uf,
"C19, C3, C38, C53",0603,4,4.7 uF,
C21,0603,1,4.7uF,
"C23, C39, C5, C54",0603,4,1 nF,
"C26, C41, C56, C7",0603,4,200p,
"C27, C42, C57, C8",0603,4,110p,
"C28, C43, C58, C9",0603,4,2.2u,
IC1,DC_SOT95P280X145-5N,1,TPS7A2025PDBVR,
IC2,DC_SOT95P280X145-5N,1,TPS7A2050PDBVR,
"J1, J12, J13, J14, J17, J18, J19, J2, J3, J5, J8, J9",PinHeader_1x02_P2.54mm_Vertical,12,Conn_01x02,
"J10, J11, J15, J16, J20, J21, J6, J7",PinHeader_1x02_P2.54mm_Vertical,8,Conn_01x02_Pin,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
"L1, L2, L3, L4",0603,4,15 nH,
"R1, R12, R13, R2, R20, R21, R29, R30, R34, R35, R43, R44, R48, R49, R6, R7",0603,16,1k,
"R10, R15, R24, R27, R38, R41, R52, R55",0603,8,100k,
"R11, R25, R39, R53",0603,4,8.2k,
"R14, R26, R40, R54",0603,4,2.2k,
"R16, R28, R42, R56",0603,4,3.9k,
"R17, R3, R31, R45",0603,4,3.3k,
"R18, R32, R4, R46",0603,4,16k,
"R19, R33, R47, R5",0603,4,7.5k,
"R22, R36, R50, R8",0603,4,33k,
"R23, R37, R51, R9",0603,4,6.2k,
"SMA1, SMA2, SMA3, SMA4, SMA5, SMA6, SMA7, SMA8",SMA_KHD,8,~,
"U1, U13, U5, U9",OPA1611-SOIC8,4,OPA1611_SOIC8,
"U10, U14, U2, U6",PMA3-63GLN+,4,PMA-63GLN+,
"U11, U15, U3, U7",SIM73L,4,~,
"U12, U16, U4, U8",TL974IPWR,4,~,
outline1,Outline_8x5_cavity_20230723(2mm),1,~,
