Designator,Mid X,Mid Y,Rotation,Layer
C1,143.51,-64.516,90.0,top
C10,159.639,-65.151,270.0,top
C11,160.401,-71.374,0.0,top
C12,166.878,-70.866,270.0,top
C13,170.815,-70.104,180.0,top
C14,129.793,-91.54,0.0,top
C15,170.053,-62.738,90.0,top
C16,167.259,-60.96,270.0,top
C17,170.815,-60.325,0.0,top
C18,129.68,-59.944,180.0,top
C19,137.159,-85.063,0.0,top
C2,129.794,-66.04,0.0,top
C20,142.24,-55.753,0.0,top
C21,142.24,-57.404,0.0,top
C22,131.699,-54.877,90.0,top
C23,137.159,-88.365,0.0,top
C24,137.16,-61.214,0.0,top
C25,138.937,-91.54,0.0,top
C26,153.669,-86.206,270.0,top
C27,157.352,-88.873,0.0,top
C28,165.353,-86.46,90.0,top
C29,159.638,-90.651,270.0,top
C3,137.16,-59.563,0.0,top
C30,160.4,-96.874,0.0,top
C31,166.877,-96.366,270.0,top
C32,170.814,-95.604,180.0,top
C33,170.052,-88.238,90.0,top
C34,167.258,-86.46,270.0,top
C35,170.814,-85.825,0.0,top
C36,143.509,-141.016,90.0,top
C37,129.793,-142.54,0.0,top
C38,137.159,-136.063,0.0,top
C39,137.159,-139.365,0.0,top
C4,143.509,-90.016,90.0,top
C40,138.937,-142.54,0.0,top
C41,153.669,-137.206,270.0,top
C42,157.352,-139.873,0.0,top
C43,165.353,-137.46,90.0,top
C44,159.638,-141.651,270.0,top
C45,160.4,-147.874,0.0,top
C46,166.877,-147.366,270.0,top
C47,170.814,-146.604,180.0,top
C48,170.052,-139.238,90.0,top
C49,167.258,-137.46,270.0,top
C5,137.16,-62.865,0.0,top
C50,170.814,-136.825,0.0,top
C51,143.509,-115.516,90.0,top
C52,129.793,-117.04,0.0,top
C53,137.159,-110.563,0.0,top
C54,137.159,-113.865,0.0,top
C55,138.937,-117.04,0.0,top
C56,153.669,-111.706,270.0,top
C57,157.352,-114.373,0.0,top
C58,165.353,-111.96,90.0,top
C59,159.638,-116.151,270.0,top
C6,138.938,-66.04,0.0,top
C60,160.4,-122.374,0.0,top
C61,166.877,-121.866,270.0,top
C62,170.814,-121.104,180.0,top
C63,170.052,-113.738,90.0,top
C64,167.258,-111.96,270.0,top
C65,170.814,-111.325,0.0,top
C7,153.67,-60.706,270.0,top
C8,157.353,-63.373,0.0,top
C9,165.354,-60.96,90.0,top
IC1,135.509,-56.388,0.0,top
IC2,133.35,-60.198,0.0,top
J1,147.061,-63.246,270.0,bottom
J10,175.894,-85.571,180.0,bottom
J11,175.894,-93.7498,180.0,bottom
J12,147.06,-139.746,270.0,bottom
