Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,10 uF,
C2,0402,1,1uF,
C3,0402,1,0.1 uF,
C4,0402,1,0.1nF,
"C5, C6, C7",0402,3,100 pF,
D1,D_MicroMELF,1,D_Schottky,
D2,TVS DIOM5226X230N,1,TVS SMAJ3.3A-TP,
D3,0603,1,LED,
FB1,Bead0603 BEADC1608X100N,1,Bead MG1608-152Y,
IC1,Switch_PE42420FZ,1,Switch_PE42420F-Z,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
J4,PinSocket_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,
Q1,SOT-23,1,Q_PMOS_GSD,
"R1, R2",0402,2,10 kohm,
"R4, R5",0402,2,4.7K,
"SMA1, SMA3, SMA4",SMA_KHD_Back,3,~,
U4,Outline_3x2_cavity_1.5mm,1,~,
