Designator,Mid X,Mid Y,Rotation,Layer
C1,118.460201,-101.8246,180.0,top
C2,118.490201,-102.8346,180.0,top
C3,127.96,-103.82,315.0,top
C4,127.252893,-104.541249,315.0,top
C5,125.540012,-100.369483,225.0,top
C6,115.860013,-108.2309,0.0,top
C7,125.530012,-116.189483,135.0,top
D1,112.410201,-99.6146,90.0,top
D2,120.280001,-99.83,0.0,top
D3,114.355001,-100.84,0.0,bottom
FB1,116.700201,-103.404601,270.0,top
IC1,123.690638,-108.230899,180.0,top
J1,115.01,-95.795,180.0,bottom
J4,135.610012,-107.949484,0.0,bottom
Q1,115.3027,-99.592101,180.0,top
R1,110.5,-98.65,0.0,top
R2,112.05,-101.99,0.0,top
R4,129.710013,-110.419483,90.0,top
R5,129.710012,-107.109483,270.0,top
SMA1,109.760012,-108.230899,0.0,bottom
SMA3,132.120012,-97.711483,270.0,bottom
SMA4,132.120013,-118.749483,180.0,bottom
U4,193.868178,-82.747485,180.0,top
