Designator,Mid X,Mid Y,Rotation,Layer
C10,154.66,-104.45,322.0,top
C11,145.05,-101.59,268.0,top
C12,135.09,-104.46,214.0,top
C14,148.15,-76.32,270.0,top
C15,153.24,-86.0,225.0,top
C16,147.36,-84.54,270.0,top
C17,147.38,-86.65,90.0,top
C4,155.13,-87.02,218.0,top
C5,157.48,-91.36,205.0,top
C6,157.47431,-99.7,150.0,top
C7,134.6,-87.07,142.0,top
C8,132.27,-91.39,155.0,top
C9,132.32,-99.68,210.0,top
D1,153.69,-78.8125,270.0,top
D2,151.62,-75.6,0.0,top
D3,150.06,-86.8,0.0,bottom
FB1,150.16,-85.57,180.0,top
IC1,144.88,-95.2752,180.0,top
J1,140.67,-81.276799,90.0,bottom
J2,150.51,-81.905,180.0,bottom
Q1,150.7375,-78.8525,0.0,top
R1,144.95,-84.49,180.0,top
R2,142.47,-84.48,180.0,top
R3,139.94,-84.53,180.0,top
R4,137.29,-84.84,225.0,top
R5,153.8,-81.28,90.0,top
R6,148.71,-88.51,0.0,top
SMA1,158.93,-78.2226,270.0,bottom
SMA10,130.83,-78.2226,270.0,bottom
SMA3,168.1528,-88.0376,180.0,bottom
SMA4,168.1528,-103.0128,180.0,bottom
SMA5,158.93,-112.76,90.0,bottom
SMA6,144.9934,-110.2632,90.0,bottom
SMA7,130.83,-112.762743,90.0,bottom
SMA8,121.6082,-103.0128,0.0,bottom
SMA9,121.6082,-88.0376,0.0,bottom
outline1,197.38,-96.18,0.0,top
