Designator,Mid X,Mid Y,Rotation,Layer
C1,-298.069,-43.5864,0.0,top
C10,-283.095879,-49.953275,0.0,top
C11,-238.379,-43.8404,0.0,top
C12,-238.2774,-45.5168,0.0,top
C13,-312.995879,-48.429275,0.0,top
C14,-312.995879,-49.953275,0.0,top
C16,-297.1654,-22.5298,0.0,top
C17,-297.1908,-24.1808,0.0,top
C18,-297.2162,-25.8318,0.0,top
C2,-298.0944,-45.1866,0.0,top
C3,-268.1136,-39.718,0.0,top
C4,-268.1136,-41.242,0.0,top
C5,-223.095879,-48.429275,0.0,top
C6,-223.095879,-49.953275,0.0,top
C7,-252.995879,-48.429275,0.0,top
C8,-252.995879,-49.953275,0.0,top
C9,-283.095879,-48.429275,0.0,top
J2,-302.8804,-24.9936,0.0,bottom
J3,-266.202,-45.6946,90.0,bottom
SMA1,-270.637,-27.8384,180.0,bottom
SMA10,-218.381879,-54.881275,180.0,bottom
SMA11,-232.381879,-54.881275,180.0,bottom
SMA12,-278.381879,-54.881275,180.0,bottom
SMA13,-292.381879,-54.881275,180.0,bottom
SMA14,-308.281879,-54.881275,180.0,bottom
SMA15,-322.281879,-54.881275,180.0,bottom
SMA2,-248.281879,-54.881275,180.0,bottom
SMA3,-262.281879,-54.881275,180.0,bottom
U1,-270.3576,-36.576,180.0,top
U2,-240.281879,-40.669,180.0,top
U3,-300.281879,-40.669,180.0,top
U4,-225.381879,-45.381275,180.0,top
U5,-255.281879,-45.381275,180.0,top
U6,-285.381879,-45.381275,180.0,top
U7,-315.281879,-45.381275,180.0,top
outline1,-483.984916,20.732987,0.0,top
