Designator,Mid X,Mid Y,Rotation,Layer
J1,114.32,-61.55,0.0,top
J10,114.4768,-108.659,0.0,top
J11,114.55,-123.48,0.0,top
J2,114.31235,-75.160725,0.0,top
J3,114.32,-102.36,0.0,top
J4,114.31,-88.760725,0.0,top
J5,114.32,-115.96,0.0,top
J6,114.3768,-54.389,0.0,top
J7,114.57,-68.1,0.0,top
J8,114.5468,-81.949,0.0,top
J9,114.59,-95.45,0.0,top
SMA1,84.68,-61.51,0.0,top
SMA10,143.9,-115.92,180.0,top
SMA11,95.42,-68.1,0.0,bottom
SMA12,132.790001,-54.38,0.0,bottom
SMA13,95.42,-81.95,0.0,bottom
SMA14,95.4,-54.38,0.0,bottom
SMA15,95.42,-95.48,0.0,bottom
SMA16,132.79,-68.1,0.0,bottom
SMA18,132.79,-81.95,0.0,bottom
SMA2,143.9,-61.51,180.0,top
SMA20,132.75,-95.48,0.0,bottom
SMA23,95.42,-108.67,90.0,bottom
SMA24,132.79,-108.67,90.0,bottom
SMA28,95.42,-123.48,0.0,bottom
SMA3,84.68,-75.1125,0.0,top
SMA30,132.79,-123.48,0.0,bottom
SMA4,143.9,-75.1125,180.0,top
SMA5,84.68,-88.715,0.0,top
SMA6,143.9,-88.715,180.0,top
SMA7,84.68,-102.3175,0.0,top
SMA8,143.9,-102.3175,180.0,top
SMA9,84.68,-115.92,0.0,top
